Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1968-01-01,1968,1,1,,-15.6,,-21.1,,-18.4,,36.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-02,1968,1,2,,-13.9,,-29.4,,-21.7,,39.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-03,1968,1,3,,-7.2,,-16.7,,-12,,30,,0,,0,,6.1,,6.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-04,1968,1,4,,-6.7,,-13.3,,-10,,28,,0,,0,,4.8,,4.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-05,1968,1,5,,-13.3,,-18.9,,-16.1,,34.1,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-06,1968,1,6,,-9.4,,-23.3,,-16.4,,34.4,,0,,0,,6.6,,6.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-07,1968,1,7,,-15,,-17.8,,-16.4,,34.4,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-08,1968,1,8,,-26.1,,-29.4,,-27.8,,45.8,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-09,1968,1,9,,-22.8,,-31.1,,-27,,45,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-10,1968,1,10,,-20,,-27.2,,-23.6,,41.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-11,1968,1,11,,-20,,-30.6,,-25.3,,43.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-12,1968,1,12,,-15.6,,-31.7,,-23.7,,41.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-13,1968,1,13,,-8.9,,-26.1,,-17.5,,35.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-14,1968,1,14,,0,,-22.8,,-11.4,,29.4,,0,,0,,2.5,,2.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-15,1968,1,15,,0,,-9.4,,-4.7,,22.7,,0,,0,,15.2,,15.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-16,1968,1,16,,-20,,-23.9,,-22,,40,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-17,1968,1,17,,-13.9,,-28.9,,-21.4,,39.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-18,1968,1,18,,1.1,,-19.4,,-9.2,,27.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-19,1968,1,19,,2.2,,-3.9,,-0.9,,18.9,,0,,3.8,,0,T,3.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-20,1968,1,20,,1.7,,-1.1,,0.3,,17.7,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-21,1968,1,21,,1.1,,-5,,-2,,20,,0,,0,,2.5,,2.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-22,1968,1,22,,-1.7,,-17.2,,-9.5,,27.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-23,1968,1,23,,1.1,,-5.6,,-2.3,,20.3,,0,,0,,3.6,,3.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-24,1968,1,24,,-11.7,,-16.7,,-14.2,,32.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-25,1968,1,25,,-11.7,,-27.2,,-19.5,,37.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-26,1968,1,26,,-3.9,,-17.8,,-10.9,,28.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-27,1968,1,27,,-1.7,,-9.4,,-5.6,,23.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-28,1968,1,28,,-3.9,,-12.2,,-8.1,,26.1,,0,,0,,2.5,,2.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1968-01-29,1968,1,29,,1.7,,-5.6,,-2,,20,,0,,0,T,0,T,0,T,,,,,,
